printing_id,printing_code,set_code,card_id,card_name,rarity,variant_name
44,25LP-EN015,25LP,,Ryzeal Cross,Ultra Rare,
45,25LP-EN016,25LP,,Maliss <Q> Hearts Crypter,Secret Rare,
46,25LP-EN016,25LP,,Maliss <Q> Hearts Crypter,Ultra Rare,
47,25LP-EN017,25LP,,Maliss <C> GWC-06,Secret Rare,
48,25LP-EN017,25LP,,Maliss <C> GWC-06,Ultra Rare,
49,25LP-EN018,25LP,,Maiden of White,Secret Rare,
50,25LP-EN018,25LP,,Maiden of White,Ultra Rare,
51,25LP-EN019,25LP,11443677,Blue-Eyes Tyrant Dragon,Secret Rare,
52,25LP-EN019,25LP,11443677,Blue-Eyes Tyrant Dragon,Ultra Rare,
53,25LP-EN020,25LP,,Blue-Eyes Ultimate Spirit Dragon,Secret Rare,
54,25LP-EN020,25LP,,Blue-Eyes Ultimate Spirit Dragon,Ultra Rare,
55,25TH-EN001,25TH,46986414,Dark Magician,Ultra Rare,
56,5DS1-EN001,5DS1,74093656,Tune Warrior,Common,
57,5DS1-EN002,5DS1,487395,Water Spirit,Common,
58,5DS1-EN003,5DS1,48305365,Axe Raider,Common,
59,5DS1-EN004,5DS1,11321183,Dark Blade,Common,
60,5DS1-EN005,5DS1,13179332,Charcoal Inpachi,Common,
61,5DS1-EN006,5DS1,35322812,Woodborg Inpachi,Common,
62,5DS1-EN007,5DS1,32626733,Spiral Serpent,Common,
63,5DS1-EN008,5DS1,60606759,"Renge, Gatekeeper of Dark World",Common,
64,5DS1-EN009,5DS1,26976414,Atlantean Pikeman,Common,
65,5DS1-EN010,5DS1,36472900,Sonic Chick,Common,
66,5DS1-EN011,5DS1,63977008,Junk Synchron,Common,
67,5DS1-EN012,5DS1,9365703,Speed Warrior,Common,
68,5DS1-EN013,5DS1,36750412,Magna Drago,Common,
69,5DS1-EN014,5DS1,62154416,Frequency Magician,Common,
70,5DS1-EN015,5DS1,26376390,Copycat,Common,
71,5DS1-EN016,5DS1,60806437,UFO Turtle,Common,
72,5DS1-EN017,5DS1,83011278,Mystic Tomato,Common,
73,5DS1-EN018,5DS1,2460565,Marauding Captain,Common,
74,5DS1-EN019,5DS1,74131780,Exiled Force,Common,
75,5DS1-EN020,5DS1,98143165,Synchro Boost,Common,
76,5DS1-EN021,5DS1,35537860,Synchro Blast Wave,Common,
77,5DS1-EN022,5DS1,61032879,Synchronized Realm,Common,
78,5DS1-EN023,5DS1,95281259,The Warrior Returning Alive,Common,
79,5DS1-EN024,5DS1,97169186,Smashing Ground,Common,
80,5DS1-EN025,5DS1,70046172,Rush Recklessly,Common,
81,5DS1-EN026,5DS1,74848038,Monster Reincarnation,Common,
82,5DS1-EN027,5DS1,69162969,Lightning Vortex,Common,
83,5DS1-EN028,5DS1,45939841,Twister,Common,
84,5DS1-EN029,5DS1,43422537,Double Summon,Common,
85,5DS1-EN030,5DS1,78794994,Symbols of Duty,Common,
86,5DS1-EN031,5DS1,36361633,Threatening Roar,Common,
87,5DS1-EN032,5DS1,98427577,Scrap-Iron Scarecrow,Common,
88,5DS1-EN033,5DS1,34815282,Miniaturize,Common,
89,5DS1-EN034,5DS1,18807109,Spellbinding Circle,Common,
90,5DS1-EN035,5DS1,36280194,Backup Soldier,Common,
91,5DS1-EN036,5DS1,4206964,Trap Hole,Common,
92,5DS1-EN037,5DS1,56120475,Sakuretsu Armor,Common,
93,5DS1-EN038,5DS1,49010598,Divine Wrath,Common,
94,5DS1-EN039,5DS1,3819470,Seven Tools of the Bandit,Common,
95,5DS1-EN040,5DS1,35539880,Birthright,Common,
96,5DS1-EN041,5DS1,60800381,Junk Warrior,Ultra Rare,
97,5DS1-EN042,5DS1,97204936,"Gaia Knight, the Force of Earth",Super Rare,
98,5DS1-EN043,5DS1,23693634,Colossal Fighter,Super Rare,
99,5DS2-EN001,5DS2,39674352,Gogiga Gagagigo,Common,
100,5DS2-EN002,5DS2,37265642,Sabersaurus,Common,
101,5DS2-EN003,5DS2,48766543,Cyber-Tech Alligator,Common,
102,5DS2-EN004,5DS2,23115241,X-Saber Anu Piranha,Common,
103,5DS2-EN005,5DS2,93346024,The Dragon Dwelling in the Cave,Common,
104,5DS2-EN006,5DS2,71971554,Road Synchron,Super Rare,
105,5DS2-EN007,5DS2,50621530,Powered Tuner,Common,
106,5DS2-EN008,5DS2,78658564,Goblin Attack Force,Common,
107,5DS2-EN009,5DS2,93920745,Penguin Soldier,Common,
108,5DS2-EN010,5DS2,16222645,Sasuke Samurai,Common,
109,5DS2-EN011,5DS2,69579761,Des Koala,Common,
110,5DS2-EN012,5DS2,49645921,Saber Beetle,Common,
111,5DS2-EN013,5DS2,23571046,Quillbolt Hedgehog,Common,
112,5DS2-EN014,5DS2,63977008,Junk Synchron,Common,
113,5DS2-EN015,5DS2,9365703,Speed Warrior,Common,
114,5DS2-EN016,5DS2,60694662,Skelengel,Common,
115,5DS2-EN017,5DS2,36472900,Sonic Chick,Common,
116,5DS2-EN018,5DS2,36750412,Magna Drago,Common,
117,5DS2-EN019,5DS2,90508760,X-Saber Airbellum,Common,
118,5DS2-EN020,5DS2,50604950,X-Saber Galahad,Common,
119,5DS2-EN021,5DS2,86016245,Pride of the Weak,Common,
120,5DS2-EN022,5DS2,70046172,Rush Recklessly,Common,
121,5DS2-EN023,5DS2,42703248,Giant Trunade,Common,
122,5DS2-EN024,5DS2,79759861,Tribute to the Doomed,Common,
123,5DS2-EN025,5DS2,95281259,The Warrior Returning Alive,Common,
124,5DS2-EN026,5DS2,53046408,Emergency Provisions,Common,
125,5DS2-EN027,5DS2,31036355,Creature Swap,Common,
126,5DS2-EN028,5DS2,45939841,Twister,Common,
127,5DS2-EN029,5DS2,32441317,De-Synchro,Common,
128,5DS2-EN030,5DS2,62991886,Unstable Evolution,Common,
129,5DS2-EN031,5DS2,19523799,Ookazi,Common,
130,5DS2-EN032,5DS2,98143165,Synchro Boost,Common,
131,5DS2-EN033,5DS2,13504844,Gottoms' Emergency Call,Common,
132,5DS2-EN034,5DS2,60082869,Dust Tornado,Common,
133,5DS2-EN035,5DS2,59344077,Magic Drain,Common,
134,5DS2-EN036,5DS2,4178474,Raigeki Break,Common,
135,5DS2-EN037,5DS2,27551,Limit Reverse,Common,
136,5DS2-EN038,5DS2,98427577,Scrap-Iron Scarecrow,Common,
137,5DS2-EN039,5DS2,34815282,Miniaturize,Common,
138,5DS2-EN040,5DS2,77754944,Widespread Ruin,Common,
139,5DS2-EN041,5DS2,2322421,Road Warrior,Ultra Rare,
140,5DS2-EN042,5DS2,60800381,Junk Warrior,Common,
141,5DS2-EN043,5DS2,80108118,X-Saber Urbellum,Super Rare,
142,5DS3-EN001,5DS3,48094997,Battle Footballer,Common,
143,5DS3-EN002,5DS3,5464695,Blazing Inpachi,Common,
144,5DS3-EN003,5DS3,74093656,Tune Warrior,Common,
145,5DS3-EN004,5DS3,255998,Rapid Warrior,Super Rare,
146,5DS3-EN005,5DS3,36643046,Synchron Explorer,Super Rare,
147,5DS3-EN006,5DS3,54652250,Man-Eater Bug,Common,
148,5DS3-EN007,5DS3,21015833,Hayabusa Knight,Common,
149,5DS3-EN008,5DS3,77252217,Chainsaw Insect,Common,
150,5DS3-EN009,5DS3,88650530,Worm Apocalypse,Common,
151,5DS3-EN010,5DS3,63977008,Junk Synchron,Common,
152,5DS3-EN011,5DS3,9365703,Speed Warrior,Common,
153,5DS3-EN012,5DS3,23571046,Quillbolt Hedgehog,Common,
154,5DS3-EN013,5DS3,50604950,X-Saber Galahad,Common,
155,5DS3-EN014,5DS3,66288028,Fortress Warrior,Common,
156,5DS3-EN015,5DS3,88559132,Turret Warrior,Common,
157,5DS3-EN016,5DS3,40225398,Twin-Sword Marauder,Common,
158,5DS3-EN017,5DS3,76614003,Dark Tinker,Common,
159,5DS3-EN018,5DS3,20932152,Quickdraw Synchron,Common,
160,5DS3-EN019,5DS3,73048641,Half Shut,Common,
161,5DS3-EN020,5DS3,42703248,Giant Trunade,Common,
162,5DS3-EN021,5DS3,72892473,Card Destruction,Common,
163,5DS3-EN022,5DS3,32807846,Reinforcement of the Army,Common,
164,5DS3-EN023,5DS3,95281259,The Warrior Returning Alive,Common,
165,5DS3-EN024,5DS3,10012614,Banner of Courage,Common,
166,5DS3-EN025,5DS3,98045062,Enemy Controller,Common,
167,5DS3-EN026,5DS3,26412047,Hammer Shot,Common,
168,5DS3-EN027,5DS3,74848038,Monster Reincarnation,Common,
169,5DS3-EN028,5DS3,98143165,Synchro Boost,Common,
170,5DS3-EN029,5DS3,47766694,Wild Tornado,Common,
171,5DS3-EN030,5DS3,4206964,Trap Hole,Common,
172,5DS3-EN031,5DS3,60082869,Dust Tornado,Common,
173,5DS3-EN032,5DS3,4178474,Raigeki Break,Common,
174,5DS3-EN033,5DS3,93382620,Rope of Life,Common,
175,5DS3-EN034,5DS3,27053506,Secret Barrel,Common,
176,5DS3-EN035,5DS3,56120475,Sakuretsu Armor,Common,
177,5DS3-EN036,5DS3,36361633,Threatening Roar,Common,
178,5DS3-EN037,5DS3,78211862,Rising Energy,Common,
179,5DS3-EN038,5DS3,24268052,Defense Draw,Common,
180,5DS3-EN039,5DS3,74860293,Junk Destroyer,Ultra Rare,
181,5DS3-EN040,5DS3,80108118,X-Saber Urbellum,Common,
182,5DS3-EN041,5DS3,97204936,"Gaia Knight, the Force of Earth",Common,
183,5DS3-EN042,5DS3,83810690,X-Saber Wayne,Super Rare,
184,ABPF-EN000,ABPF,3381441,Gravekeeper's Priestess,Super Rare,
185,ABPF-EN001,ABPF,57308711,Unicycular,Common,
186,ABPF-EN002,ABPF,83392426,Bicular,Common,
187,ABPF-EN003,ABPF,20797524,Tricular,Common,
188,ABPF-EN004,ABPF,56286179,Drill Synchron,Rare,
189,ABPF-EN005,ABPF,82670878,Ogre of the Scarlet Sorrow,Super Rare,
190,ABPF-EN006,ABPF,19665973,Battle Fader,Ultimate Rare,
191,ABPF-EN006,ABPF,19665973,Battle Fader,Ultra Rare,
192,ABPF-EN007,ABPF,55063681,Power Supplier,Common,
193,ABPF-EN008,ABPF,82458280,Magic Hole Golem,Common,
194,ABPF-EN009,ABPF,18842395,Power Invader,Common,
195,ABPF-EN010,ABPF,44341034,Dark Bug,Rare,
196,ABPF-EN011,ABPF,81336148,Sword Master,Common,
197,ABPF-EN012,ABPF,17720747,Witch of the Black Rose,Ultimate Rare,
198,ABPF-EN012,ABPF,17720747,Witch of the Black Rose,Ultra Rare,
199,ABPF-EN013,ABPF,44125452,Rose Fairy,Common,
200,ABPF-EN014,ABPF,80513550,Dragon Queen of Tragic Endings,Super Rare,
201,ABPF-EN015,ABPF,16008155,Reptilianne Servant,Common,
202,ABPF-EN016,ABPF,43002864,Reptilianne Gardna,Common,
203,ABPF-EN017,ABPF,79491903,Reptilianne Naga,Common,
204,ABPF-EN018,ABPF,16886617,Reptilianne Vaskii,Rare,
205,ABPF-EN019,ABPF,42280216,Oracle of the Sun,Super Rare,
206,ABPF-EN020,ABPF,78275321,Fire Ant Ascator,Common,
207,ABPF-EN021,ABPF,5763020,Weeping Idol,Common,
208,ABPF-EN022,ABPF,41158734,Apocatequil,Common,
209,ABPF-EN023,ABPF,78552773,Supay,Common,
210,ABPF-EN024,ABPF,4941482,Informer Spider,Common,
211,ABPF-EN025,ABPF,30936186,Koa'ki Meiru Urnight,Ultimate Rare,
212,ABPF-EN025,ABPF,30936186,Koa'ki Meiru Urnight,Ultra Rare,
213,ABPF-EN026,ABPF,77330185,XX-Saber Garsem,Rare,
214,ABPF-EN027,ABPF,3825890,Gravekeeper's Visionary,Super Rare,
215,ABPF-EN028,ABPF,30213599,Gravekeeper's Descendant,Rare,
216,ABPF-EN029,ABPF,76218643,Black Potan,Common,
217,ABPF-EN030,ABPF,3603242,Shreddder,Common,
218,ABPF-EN031,ABPF,39091951,Pandaborg,Common,
219,ABPF-EN032,ABPF,65496056,Codarus,Common,
220,ABPF-EN033,ABPF,2980764,Consecrated Light,Short Print,
221,ABPF-EN034,ABPF,38975369,Gundari,Common,
222,ABPF-EN035,ABPF,5373478,Cyber Dragon Zwei,Rare,
223,ABPF-EN036,ABPF,31768112,Oilman,Common,
224,ABPF-EN037,ABPF,77153811,Djinn Cursenchanter of Rituals,Rare,
225,ABPF-EN038,ABPF,4141820,Djinn Prognosticator of Rituals,Rare,
226,ABPF-EN039,ABPF,30646525,"Garlandolf, King of Destruction",Ultimate Rare,
227,ABPF-EN039,ABPF,30646525,"Garlandolf, King of Destruction",Ultra Rare,
228,ABPF-EN040,ABPF,67030233,Majestic Red Dragon,Ghost Rare,
229,ABPF-EN040,ABPF,67030233,Majestic Red Dragon,Ultimate Rare,
230,ABPF-EN040,ABPF,67030233,Majestic Red Dragon,Ultra Rare,
231,ABPF-EN041,ABPF,3429238,Drill Warrior,Ultimate Rare,
232,ABPF-EN041,ABPF,3429238,Drill Warrior,Ultra Rare,
233,ABPF-EN042,ABPF,39823987,Sun Dragon Inti,Ultimate Rare,
234,ABPF-EN042,ABPF,39823987,Sun Dragon Inti,Ultra Rare,
235,ABPF-EN043,ABPF,66818682,Moon Dragon Quilla,Ultimate Rare,
236,ABPF-EN043,ABPF,66818682,Moon Dragon Quilla,Ultra Rare,
237,ABPF-EN044,ABPF,2203790,XX-Saber Hyunlei,Ultimate Rare,
238,ABPF-EN044,ABPF,2203790,XX-Saber Hyunlei,Ultra Rare,
239,ABPF-EN045,ABPF,39701395,Cards of Consonance,Super Rare,
240,ABPF-EN046,ABPF,65196094,Variety Comes Out,Common,
241,ABPF-EN047,ABPF,91580102,Reptilianne Rage,Common,
242,ABPF-EN048,ABPF,38589847,Advance Force,Common,
243,ABPF-EN049,ABPF,64973456,Viper's Rebirth,Common,
244,ABPF-EN050,ABPF,91468551,Temple of the Sun,Common,
245,ABPF-EN051,ABPF,27863269,Rocket Pilder,Common,
246,ABPF-EN052,ABPF,63851864,Break! Draw!,Common,
247,ABPF-EN053,ABPF,90246973,Power Pickaxe,Rare,
248,ABPF-EN054,ABPF,26640671,Spiders' Lair,Common,
249,ABPF-EN055,ABPF,53039326,Iron Core Specimen Lab,Super Rare,
250,ABPF-EN056,ABPF,99523325,Gravekeeper's Stele,Common,
251,ABPF-EN057,ABPF,25518020,Machine Assembly Line,Common,
252,ABPF-EN058,ABPF,52913738,Ritual of Destruction,Common,
253,ABPF-EN059,ABPF,88301833,Ascending Soul,Rare,
254,ABPF-EN060,ABPF,25796442,Ritual Cage,Rare,
255,ABPF-EN061,ABPF,51790181,Pot of Benevolence,Short Print,
256,ABPF-EN062,ABPF,88289295,Synchro Control,Super Rare,
257,ABPF-EN063,ABPF,24673894,Changing Destiny,Common,
258,ABPF-EN064,ABPF,50078509,Fiendish Chain,Super Rare,
259,ABPF-EN065,ABPF,83467607,Nature's Reflection,Common,
260,ABPF-EN066,ABPF,19451302,Serpent Suppression,Common,
261,ABPF-EN067,ABPF,56856951,Meteor Flare,Common,
262,ABPF-EN068,ABPF,82340056,Offering to the Immortals,Rare,
263,ABPF-EN069,ABPF,18739764,Destruct Potion,Common,
264,ABPF-EN070,ABPF,45133463,Call of the Reaper,Common,
265,ABPF-EN071,ABPF,81128478,Lair Wire,Common,
266,ABPF-EN072,ABPF,18517177,Core Blast,Rare,
267,ABPF-EN073,ABPF,44901281,Saber Hole,Super Rare,
268,ABPF-EN074,ABPF,70406920,Machine King - 3000 B.C.,Common,
269,ABPF-EN075,ABPF,17490535,Alien Brain,Common,
270,ABPF-EN076,ABPF,43889633,Forgotten Temple of the Deep,Common,
271,ABPF-EN077,ABPF,70284332,Tuner's Scheme,Super Rare,
272,ABPF-EN078,ABPF,16678947,Psi-Curse,Common,
273,ABPF-EN079,ABPF,42167046,Widespread Dud,Short Print,
274,ABPF-EN080,ABPF,79161790,Inverse Universe,Short Print,
275,ABPF-EN081,ABPF,42737833,XX-Saber Emmersblade,Secret Rare,
276,ABPF-EN082,ABPF,78121572,Alchemist of Black Spells,Ultimate Rare,
277,ABPF-EN082,ABPF,78121572,Alchemist of Black Spells,Ultra Rare,
278,ABPF-EN083,ABPF,5220687,Super-Nimble Mega Hamster,Super Rare,
279,ABPF-EN084,ABPF,31615285,Cactus Bouncer,Secret Rare,
280,ABPF-EN085,ABPF,78009994,Dragonic Guard,Super Rare,
281,ABPF-EN086,ABPF,4404099,The Dragon Dwelling in the Deep,Super Rare,
282,ABPF-EN087,ABPF,30492798,Djinn Disserere of Rituals,Secret Rare,
283,ABPF-EN088,ABPF,67987302,Earthbound Linewalker,Secret Rare,
284,ABPF-EN089,ABPF,30770156,Core Transport Unit,Secret Rare,
285,ABPF-EN090,ABPF,16229315,Gale Dogra,Rare,
286,ABPF-EN091,ABPF,77207191,Berfomet,Rare,
287,ABPF-EN092,ABPF,4796100,Chimera the Flying Mythical Beast,Rare,
288,ABPF-EN093,ABPF,56043447,Viser Des,Rare,
289,ABPF-EN094,ABPF,15684835,Evil Blast,Rare,
290,ABPF-EN095,ABPF,28859794,Shield Wing,Secret Rare,
291,ABPF-EN096,ABPF,63465535,Underground Arachnid,Secret Rare,
292,ABPF-EN097,ABPF,22858242,Zeman the Ape King,Secret Rare,
293,ABPF-EN098,ABPF,62782218,Skull Conductor,Rare,
294,ABPF-EN099,ABPF,15939448,Shield Worm,Rare,
295,ABPF-ENSE1,ABPF,15341821,Dandylion,Super Rare,
296,ABPF-ENSE2,ABPF,88264978,Red-Eyes Darkness Metal Dragon,Super Rare,
297,ABPF-ENSP1,ABPF,3381441,Gravekeeper's Priestess,Ultra Rare,
298,ABYR-EN000,ABYR,95772051,Ignoble Knight of Black Laundsallyn,Super Rare,
299,ABYR-EN001,ABYR,9583383,Gagaga Caesar,Rare,
300,ABYR-EN002,ABYR,36088082,Bull Blader,Common,
301,ABYR-EN003,ABYR,62476197,Achacha Chanbara,Common,
302,ABYR-EN004,ABYR,9861795,Mogmole,Common,
303,ABYR-EN005,ABYR,35866404,Grandram,Common,
304,ABYR-EN006,ABYR,61254509,Tripod Fish,Common,
305,ABYR-EN007,ABYR,8649148,Deep Sweeper,Common,
306,ABYR-EN008,ABYR,34143852,Heroic Challenger - Extra Sword,Common,
307,ABYR-EN009,ABYR,61132951,Heroic Challenger - Night Watchman,Common,
308,ABYR-EN010,ABYR,97526666,Planet Pathfinder,Common,
309,ABYR-EN011,ABYR,33911264,Solar Wind Jammer,Common,
310,ABYR-EN012,ABYR,60316373,Heraldic Beast Aberconway,Common,
311,ABYR-EN013,ABYR,96704018,Heraldic Beast Berners Falcon,Common,
312,ABYR-EN014,ABYR,23899727,Mermail Abysslinde,Ultimate Rare,
313,ABYR-EN014,ABYR,23899727,Mermail Abysslinde,Ultra Rare,
314,ABYR-EN015,ABYR,69293721,Mermail Abyssgunde,Rare,
315,ABYR-EN016,ABYR,96682430,Mermail Abysshilde,Common,
316,ABYR-EN017,ABYR,22076135,Mermail Abyssturge,Rare,
317,ABYR-EN018,ABYR,58471134,Mermail Abysspike,Rare,
318,ABYR-EN019,ABYR,95466842,Mermail Abysslung,Common,
319,ABYR-EN020,ABYR,21954587,Mermail Abyssmegalo,Secret Rare,
320,ABYR-EN021,ABYR,54359696,Stoic of Prophecy,Common,
321,ABYR-EN022,ABYR,90743290,Hermit of Prophecy,Common,
322,ABYR-EN023,ABYR,26732909,Justice of Prophecy,Rare,
323,ABYR-EN024,ABYR,53136004,Emperor of Prophecy,Rare,
324,ABYR-EN025,ABYR,89521713,Madolche Cruffssant,Common,
325,ABYR-EN026,ABYR,26016357,Madolche Marmalmaide,Common,
326,ABYR-EN027,ABYR,52404456,Madolche Messengelato,Rare,
327,ABYR-EN028,ABYR,88409165,Abyss Warrior,Common,
328,ABYR-EN029,ABYR,15893860,Snowman Creator,Common,
329,ABYR-EN030,ABYR,51282878,Fishborg Planter,Common,
330,ABYR-EN031,ABYR,88686573,Nimble Angler,Common,
331,ABYR-EN032,ABYR,14771222,Shore Knight,Rare,
332,ABYR-EN033,ABYR,40160226,Mecha Sea Dragon Plesion,Common,
333,ABYR-EN034,ABYR,87564935,Metallizing Parasite - Soltite,Common,
334,ABYR-EN035,ABYR,13959634,Moulinglacia the Elemental Lord,Secret Rare,
335,ABYR-EN036,ABYR,40343749,House Duston,Common,
336,ABYR-EN037,ABYR,76442347,Puny Penguin,Short Print,
337,ABYR-EN038,ABYR,12836042,Missing Force,Short Print,
338,ABYR-EN039,ABYR,49221191,Number C32: Shark Drake Veiss,Ghost Rare,
339,ABYR-EN039,ABYR,49221191,Number C32: Shark Drake Veiss,Ultimate Rare,
340,ABYR-EN039,ABYR,49221191,Number C32: Shark Drake Veiss,Ultra Rare,
341,ABYR-EN040,ABYR,75620895,One-Eyed Skill Gainer,Super Rare,
342,ABYR-EN041,ABYR,12014404,Gagaga Cowboy,Super Rare,
343,ABYR-EN042,ABYR,48009503,Heroic Champion - Gandiva,Ultimate Rare,
344,ABYR-EN042,ABYR,48009503,Heroic Champion - Gandiva,Ultra Rare,
345,ABYR-EN043,ABYR,74593218,Heroic Champion - Kusanagi,Super Rare,
346,ABYR-EN044,ABYR,1992816,Number 9: Dyson Sphere,Ultimate Rare,
347,ABYR-EN044,ABYR,1992816,Number 9: Dyson Sphere,Ultra Rare,
348,ABYR-EN045,ABYR,47387961,Number 8: Heraldic King Genom-Heritage,Super Rare,
349,ABYR-EN046,ABYR,74371660,Mermail Abyssgaios,Ultimate Rare,
350,ABYR-EN046,ABYR,74371660,Mermail Abyssgaios,Ultra Rare,
351,ABYR-EN047,ABYR,770365,Empress of Prophecy,Ultimate Rare,
352,ABYR-EN047,ABYR,770365,Empress of Prophecy,Ultra Rare,
353,ABYR-EN048,ABYR,37164373,Madolche Queen Tiaramisu,Ultimate Rare,
354,ABYR-EN048,ABYR,37164373,Madolche Queen Tiaramisu,Ultra Rare,
355,ABYR-EN049,ABYR,73659078,Snowdust Giant,Rare,
356,ABYR-EN050,ABYR,9053187,Gagagigo the Risen,Rare,
357,ABYR-EN051,ABYR,36042825,One-Shot Wand,Common,
358,ABYR-EN052,ABYR,62437430,Different Dimension Deepsea Trench,Common,
359,ABYR-EN053,ABYR,9831539,Tannhauser Gate,Super Rare,
360,ABYR-EN054,ABYR,35220244,Gravity Blaster,Common,
361,ABYR-EN055,ABYR,61314842,Advanced Heraldry Art,Rare,
362,ABYR-EN056,ABYR,8719957,Abyss-scale of the Kraken,Common,
363,ABYR-EN057,ABYR,34103656,"Lemuria, the Forgotten City",Common,
364,ABYR-EN058,ABYR,61592395,Spellbook of Eternity,Rare,
365,ABYR-EN059,ABYR,97997309,Spellbook of Fate,Ultimate Rare,
366,ABYR-EN059,ABYR,97997309,Spellbook of Fate,Ultra Rare,
367,ABYR-EN060,ABYR,33981008,The Grand Spellbook Tower,Secret Rare,
368,ABYR-EN061,ABYR,60470713,Madolche Ticket,Common,
369,ABYR-EN062,ABYR,96864811,Forbidden Dress,Super Rare,
370,ABYR-EN063,ABYR,23269426,Final Gesture,Common,
371,ABYR-EN064,ABYR,69257165,Mind Pollutant,Rare,
372,ABYR-EN065,ABYR,95642274,The Humble Sentry,Short Print,
373,ABYR-EN066,ABYR,22047978,Battle Break,Common,
374,ABYR-EN067,ABYR,58531587,Bubble Bringer,Super Rare,
375,ABYR-EN068,ABYR,95920682,Heroic Gift,Common,
376,ABYR-EN069,ABYR,21924381,Heroic Advance,Common,
377,ABYR-EN070,ABYR,57319935,Xyz Xtreme !!,Common,
378,ABYR-EN071,ABYR,34707034,Abyss-squall,Super Rare,
379,ABYR-EN072,ABYR,60202749,Abyss-sphere,Ultimate Rare,
380,ABYR-EN072,ABYR,60202749,Abyss-sphere,Ultra Rare,
381,ABYR-EN073,ABYR,97697447,Abyss-strom,Rare,
382,ABYR-EN074,ABYR,23681456,Madolchepalooza,Super Rare,
383,ABYR-EN075,ABYR,60080151,Memory of an Adversary,Super Rare,
384,ABYR-EN076,ABYR,96474800,Magic Deflector,Common,
385,ABYR-EN077,ABYR,22869904,That Wacky Alchemy!,Ultimate Rare,
386,ABYR-EN077,ABYR,22869904,That Wacky Alchemy!,Ultra Rare,
387,ABYR-EN078,ABYR,59957503,Cash Back,Short Print,
388,ABYR-EN079,ABYR,95352218,Unification,Common,
389,ABYR-EN080,ABYR,22747316,Retort,Secret Rare,
390,ABYR-EN081,ABYR,21767650,Mermail Abyssmander,Rare,
391,ABYR-EN082,ABYR,58165765,Red Dragon Ninja,Super Rare,
392,ABYR-EN083,ABYR,84650463,Slushy,Rare,
393,ABYR-EN084,ABYR,21044178,Abyss Dweller,Super Rare,
